CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
1100822,FONDECYT,REGULAR,2009,CIENCIAS SOCIALES,MUJER
FP0928,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,2009,CIENCIAS NATURALES,MUJER
ECP1/169,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2009,SIN INFORMACION,MUJER
11090265,FONDECYT,INICIACION,2009,CIENCIAS NATURALES,HOMBRE
ECP1/146,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2009,SIN INFORMACION,MUJER
ERF09/012,EXPLORA,FORTALECIMIENTO DE EXPLORA REGIONAL,2009,SIN INFORMACION,MUJER
ER9/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2009,MULTIDISCIPLINARIO,MUJER
EC10/009,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2009,CIENCIAS SOCIALES,MUJER
80090023,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2009,SIN INFORMACION,MUJER
1100334,FONDECYT,REGULAR,2009,HUMANIDADES,HOMBRE
DA09I1002,FONDEF,DIVERSIFICACION DE LA ACUICULTURA,2009,CIENCIAS NATURALES,HOMBRE
DIP-30,REGIONAL,DIPLOMADOS CTI,2009,CIENCIAS SOCIALES,SIN INFORMACION
EVE-01,REGIONAL,DIFUSION,2009,SIN INFORMACION,SIN INFORMACION
R10C1003,REGIONAL,CREACION CENTROS REGIONALES,2010,CIENCIAS NATURALES,HOMBRE
1110875,FONDECYT,REGULAR,2010,CIENCIAS NATURALES,HOMBRE
100/120/2010-13,PCI,MOVILIDAD - PROGRAMA EN ENERGIAS CURSOS DE FORMACION DE CAPACIDADES EN EL AMBITO ENERGETICO,2010,INGENIERIA Y TECNOLOGIA,HOMBRE
1110011,FONDECYT,REGULAR,2010,CIENCIAS SOCIALES,MUJER
100/104/2009-152,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL (PCCI) CONICYT/CNRS,2010,CIENCIAS NATURALES,HOMBRE
ECP02/0070,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2010,CIENCIAS NATURALES,MUJER
ED15/022,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2010,CIENCIAS NATURALES,MUJER
EC11/008,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2010,INGENIERIA Y TECNOLOGIA,HOMBRE
ED15/015,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2010,CIENCIAS NATURALES,MUJER
EC11/029,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2010,SIN INFORMACION,MUJER
80100014,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2010,CIENCIAS NATURALES,HOMBRE
ER10/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2010,MULTIDISCIPLINARIO,HOMBRE
1110556,FONDECYT,REGULAR,2010,CIENCIAS SOCIALES,HOMBRE
EC11/046,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2010,SIN INFORMACION,MUJER
EC11/030,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2010,SIN INFORMACION,HOMBRE
ER10/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2010,MULTIDISCIPLINARIO,MUJER
ECP02/0050,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2010,CIENCIAS NATURALES,MUJER
80100021,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2010,CIENCIAS NATURALES,MUJER
D10E1258,FONDEF,INVESTIGACION Y DESARROLLO EXTENSION DE PROYECTOS,2010,CIENCIAS NATURALES,HOMBRE
ECP02/0049,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2010,CIENCIAS NATURALES,MUJER
D09I1036,FONDEF,INVESTIGACION Y DESARROLLO,2010,CIENCIAS NATURALES,HOMBRE
EC11/047,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2010,SIN INFORMACION,MUJER
DIP.09.04,REGIONAL,DIPLOMADOS CTI,2010,CIENCIAS SOCIALES,SIN INFORMACION
80110046,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2011,CIENCIAS NATURALES,HOMBRE
822119007,REGIONAL,BECA REGIONAL,2011,SIN INFORMACION,MUJER
822119010,REGIONAL,BECA REGIONAL,2011,SIN INFORMACION,HOMBRE
EAI01/069,EXPLORA,APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2011,SIN INFORMACION,MUJER
11110293,FONDECYT,INICIACION,2011,CIENCIAS NATURALES,HOMBRE
AIC-67,PIA,APOYO A LA INFRAESTRUCTURA CIENTIFICA DE CENTROS Y GRUPOS DE INVESTIGACION,2011,SIN INFORMACION,HOMBRE
R11F1003,REGIONAL,FORTALECIMIENTO,2011,CIENCIAS NATURALES,HOMBRE
ECP3/134,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2011,SIN INFORMACION,MUJER
ECP3/106,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2011,SIN INFORMACION,MUJER
ERI11/011,EXPLORA,FORTALECIMIENTO DE EXPLORA REGIONAL,2011,SIN INFORMACION,HOMBRE
ER11/011,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2011,MULTIDISCIPLINARIO,HOMBRE
1120171,FONDECYT,REGULAR,2011,CIENCIAS NATURALES,HOMBRE
80110049,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2011,CIENCIAS NATURALES,HOMBRE
EC12/044,EXPLORA,"CLUBES EXPLORA DE VALORACION DE LA CIENCIA, LA TECNOLOGIA E INNOVACION",2011,CIENCIAS NATURALES,HOMBRE
ED16/031,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2011,CIENCIAS SOCIALES,HOMBRE
100/108/2010-259,PCI,MOVILIDAD - INICIATIVA DE COOPERACION CIENTIFICA INTERNACIONAL (PCCI) CONICYT/DAAD,2011,CIENCIAS NATURALES,HOMBRE
ERI11/012,EXPLORA,FORTALECIMIENTO DE EXPLORA REGIONAL,2011,SIN INFORMACION,MUJER
ER11/012,EXPLORA,PROYECTOS DE GESTION DE COORDINACION REGIONAL DE EXPLORA,2011,MULTIDISCIPLINARIO,MUJER
1120891,FONDECYT,REGULAR,2011,CIENCIAS SOCIALES,MUJER
AIC-42,PIA,APOYO A LA INFRAESTRUCTURA CIENTIFICA DE CENTROS Y GRUPOS DE INVESTIGACION,2011,SIN INFORMACION,HOMBRE
822119008,REGIONAL,BECA REGIONAL,2011,SIN INFORMACION,MUJER
EAI01/147,EXPLORA,APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2011,SIN INFORMACION,HOMBRE
822119002,REGIONAL,BECA REGIONAL,2011,SIN INFORMACION,MUJER
D10I1258,FONDEF,INVESTIGACION Y DESARROLLO,2011,CIENCIAS NATURALES,HOMBRE
R11F1004,REGIONAL,FORTALECIMIENTO,2011,CIENCIAS NATURALES,MUJER
100/108/2010-257,PCI,MOVILIDAD - INICIATIVA DE COOPERACION CIENTIFICA INTERNACIONAL (PCCI) CONICYT/DAAD,2011,CIENCIAS NATURALES,HOMBRE
822119009,REGIONAL,BECA REGIONAL,2011,SIN INFORMACION,MUJER
ED16/008,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2011,CIENCIAS NATURALES,HOMBRE
1121141,FONDECYT,REGULAR,2011,CIENCIAS NATURALES,HOMBRE
EAI01/062,EXPLORA,APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2011,SIN INFORMACION,HOMBRE
3130677,FONDECYT,POSTDOCTORADO,2012,CIENCIAS NATURALES,MUJER
ECI01/005,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,MUJER
100/110/C12B04,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA ECOS/CONICYT,2012,CIENCIAS NATURALES,HOMBRE
ECP40100,EXPLORA,CLUBES EXPLORINES DE VALORACION Y DIVULGACION DE LA CTI,2012,CIENCIAS NATURALES,HOMBRE
ECI01/019,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,MUJER
11121175,FONDECYT,INICIACION,2012,CIENCIAS NATURALES,MUJER
ECI01/040,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,MUJER
D11R1002,FONDEF,INVESTIGACION Y DESARROLLO REGIONAL,2012,CIENCIAS NATURALES,HOMBRE
D11R0002,FONDEF,INVESTIGACION Y DESARROLLO REGIONAL,2012,INGENIERIA Y TECNOLOGIA,HOMBRE
1131063,FONDECYT,REGULAR,2012,CIENCIAS NATURALES,HOMBRE
VIU110074,FONDEF,VIU,2012,CIENCIAS NATURALES,HOMBRE
VIU11P0074,FONDEF,VIU,2012,CIENCIAS NATURALES,HOMBRE
1131001,FONDECYT,REGULAR,2012,CIENCIAS NATURALES,HOMBRE
ECI01/087,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,HOMBRE
1130381,FONDECYT,REGULAR,2012,CIENCIAS NATURALES,HOMBRE
ECI01/004,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,HOMBRE
ECI01/011,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,MUJER
ECI01/002,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,HOMBRE
ECI01/001,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,MUJER
100/121/REDES120042,PCI,REDES INTERNACIONALES - PROGRAMA DE APOYO A LA FORMACION DE REDES INTERNACIONALES ENTRE CENTROS DE INVESTIGACION,2012,MULTIDISCIPLINARIO,HOMBRE
1130151,FONDECYT,REGULAR,2012,CIENCIAS SOCIALES,HOMBRE
1130235,FONDECYT,REGULAR,2012,HUMANIDADES,HOMBRE
ECI01/067,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,HOMBRE
ECI01/060,EXPLORA,CLUBES DE APOYO A LA INVESTIGACION CIENTIFICA ESCOLAR,2012,CIENCIAS NATURALES,HOMBRE
80122013,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2012,CIENCIAS NATURALES,HOMBRE
78111301,PAI,INSERCION SECTOR PRODUCTIVO,2012,CIENCIAS NATURALES,SIN INFORMACION
DIP121203,REGIONAL,DIPLOMADOS CTI,2012,CIENCIAS SOCIALES,SIN INFORMACION
80122006,PAI,ATRACCION DE INVESTIGADORES DESDE EL EXTRANJERO,2012,CIENCIAS NATURALES,HOMBRE
100/102/2012-035,PCI,MOVILIDAD - PROGRAMA BMBF,2013,CIENCIAS NATURALES,HOMBRE
FP130038,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,2013,HUMANIDADES,MUJER
100/114/2012-034Â ,PCI,MOVILIDAD - PROGRAMA DE COOPERACION CIENTIFICA INTERNACIONAL (PCCI) CONICYT/MINCYT (ARGENTINA),2013,CIENCIAS NATURALES,HOMBRE
ER13/011,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,2013,MULTIDISCIPLINARIO,MUJER
ER13/012,EXPLORA,PROYECTOS ASOCIATIVOS DE DIVULGACION Y VALORACION CIENTIFICA Y TECNOLOGICA EXPLORA REGIONAL,2013,MULTIDISCIPLINARIO,MUJER
R13A1002,REGIONAL,FORTALECIMIENTO A LA CONTINUIDAD CENTROS REGIONALES,2013,CIENCIAS NATURALES,MUJER
EQM130027,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,2013,CIENCIAS NATURALES,HOMBRE
VCE1216,PIA,VINCULACION CIENCIA - EMPRESA,2013,CIENCIAS SOCIALES,MUJER
VCE 1216,REGIONAL,VINCULACION CIENCIA EMPRESA,2013,SIN INFORMACION,MUJER
EPA20096,EXPLORA,PRODUCTOS DE APROPIACION SOCIAL DE LA CIENCIA Y LA TECNOLOGIA,2013,CIENCIAS NATURALES,MUJER
11130451,FONDECYT,INICIACION,2013,CIENCIAS NATURALES,MUJER
100/102/2013-041,PCI,MOVILIDAD - PROGRAMA BMBF,2014,CIENCIAS NATURALES,HOMBRE
1140940,FONDECYT,REGULAR,2014,CIENCIAS NATURALES,HOMBRE
1140947,FONDECYT,REGULAR,2014,CIENCIAS SOCIALES,MUJER
79140024,PAI,INSERCION INVESTIGADORES EN LA ACADEMIA,2014,CIENCIAS NATURALES,MUJER
VCE4000019,REGIONAL,VINCULACION CIENCIA EMPRESA,2014,SIN INFORMACION,MUJER
1140939,FONDECYT,REGULAR,2014,CIENCIAS SOCIALES,MUJER
100/102/2013-022,PCI,MOVILIDAD - PROGRAMA BMBF,2014,CIENCIAS NATURALES,HOMBRE
1140172,FONDECYT,REGULAR,2014,CIENCIAS NATURALES,HOMBRE
11140027,FONDECYT,INICIACION,2014,HUMANIDADES,HOMBRE
1140385,FONDECYT,REGULAR,2014,CIENCIAS NATURALES,HOMBRE
3150402,FONDECYT,POSTDOCTORADO,2014,CIENCIAS AGRICOLAS,MUJER
11140542,FONDECYT,INICIACION,2014,CIENCIAS MEDICAS Y DE LA SALUD,HOMBRE
80140028,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",2014,CIENCIAS NATURALES,MUJER
PRFVI0014,REGIONAL,FORTALECIMIENTO,2014,CIENCIAS NATURALES,MUJER
1140536,FONDECYT,REGULAR,2014,CIENCIAS NATURALES,HOMBRE
11140663,FONDECYT,INICIACION,2014,CIENCIAS SOCIALES,HOMBRE
80140001,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",2014,CIENCIAS SOCIALES,HOMBRE
1140936,FONDECYT,REGULAR,2014,CIENCIAS SOCIALES,HOMBRE
VIU15P0084,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,2015,CIENCIAS AGRICOLAS,HOMBRE
11150129,FONDECYT,INICIACION,2015,CIENCIAS NATURALES,HOMBRE
VCE5N000003,REGIONAL,VINCULACION CIENCIA EMPRESA,2015,MULTIDISCIPLINARIO,HOMBRE
1150845,FONDECYT,REGULAR,2015,CIENCIAS SOCIALES,MUJER
11150998,FONDECYT,INICIACION,2015,CIENCIAS AGRICOLAS,HOMBRE
ELAC2014/DCC-0092 B,PCI,INVESTIGACION CONJUNTA - ERANET-LAC,2015,SIN INFORMACION,HOMBRE
1150913,FONDECYT,REGULAR,2015,CIENCIAS NATURALES,HOMBRE
BMBF20140052,PCI,INVESTIGACION CONJUNTA - PROYECTOS DE INVESTIGACION CONJUNTA CONICYT CHILE - BMBF ALEMANIA,2015,SIN INFORMACION,HOMBRE
ID15I10623,FONDEF,IDEA EN DOS ETAPAS,2015,INGENIERIA Y TECNOLOGIA,HOMBRE
ED190167,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2015,CIENCIAS NATURALES,HOMBRE
PRFC0003,REGIONAL,FORTALECIMIENTO A LA CONTINUIDAD CENTROS REGIONALES,2015,CIENCIAS NATURALES,SIN INFORMACION
CHVA030015,EXPLORA,"CAMPAMENTOS DE CIENCIA, TECNOLOGIA E INNOVACION EXPLORA CHILE VA!",2015,CIENCIAS NATURALES,MUJER
1151389,FONDECYT,REGULAR,2015,CIENCIAS NATURALES,HOMBRE
EQM150050,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO MEDIANO,2015,CIENCIAS NATURALES,HOMBRE
VIU15P0143,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD PRIMERA ETAPA,2015,INGENIERIA Y TECNOLOGIA,HOMBRE
VIU15E0084,FONDEF,VALORIZACION DE LA INVESTIGACION EN LA UNIVERSIDAD SEGUNDA ETAPA,2016,CIENCIAS AGRICOLAS,HOMBRE
PAI79160136,PAI,INSERCION INVESTIGADORES EN LA ACADEMIA,2016,CIENCIAS NATURALES,MUJER
1161353,FONDECYT,REGULAR,2016,CIENCIAS SOCIALES,HOMBRE
PAI80160111,PAI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",2016,HUMANIDADES,MUJER
FP160017,INFORMACION CIENTIFICA,FONDO DE PUBLICACION DE REVISTAS CIENTIFICAS,2016,CIENCIAS SOCIALES,MUJER
1161130,FONDECYT,REGULAR,2016,CIENCIAS NATURALES,HOMBRE
1161358,FONDECYT,REGULAR,2016,CIENCIAS NATURALES,MUJER
