CODIGO_PROYECTO,PROGRAMA,INSTRUMENTO,ANO_FALLO,AREA_OCDE,SEXO
VCE80002,REGIONAL,VINCULACION CIENCIA EMPRESA,2018,MULTIDISCIPLINARIO,MUJER
MEC80180058,PCI,"MEC - ATRACCION DE CAPITAL HUMANO AVANZADO DEL EXTRANJERO, MODALIDAD ESTADIAS CORTAS",2018,CIENCIAS NATURALES,HOMBRE
ECOS170044,PCI,MOVILIDAD - ECOS,2018,CIENCIAS NATURALES,HOMBRE
1180815,FONDECYT,REGULAR,2018,CIENCIAS NATURALES,HOMBRE
REDI170035,PCI,MOVILIDAD - REDI,2018,INGENIERIA Y TECNOLOGIA,MUJER
ER190004,EXPLORA,PAR - Etapa 1,2019,MULTIDISCIPLINARIO,MUJER
ED230064,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2019,MULTIDISCIPLINARIO,MUJER
ER190009,EXPLORA,PAR - Etapa 1,2019,MULTIDISCIPLINARIO,MUJER
ED230017,EXPLORA,PROYECTOS DE DIVULGACION Y VALORACION DE LA CIENCIA Y LA TECNOLOGIA,2019,MULTIDISCIPLINARIO,HOMBRE
EQM190013,FONDEQUIP,CONCURSO DE EQUIPAMIENTO CIENTIFICO Y TECNOLOGICO MEDIANO,2019,CIENCIAS NATURALES,HOMBRE
ACT192057,PIA,ANILLOS DE INVESTIGACION EN CIENCIAS Y TECNOLOGIA,2019,CIENCIAS NATURALES,HOMBRE
1190984,FONDECYT,REGULAR,2019,CIENCIAS SOCIALES,MUJER
1190230,FONDECYT,REGULAR,2019,CIENCIAS NATURALES,HOMBRE
ID19I10352,FONDEF,IDeA I+D,2019,CIENCIAS NATURALES,HOMBRE
bmbf180005,PCI,INVESTIGACION CONJUNTA - BMBF Bases 6784/2018,2019,CIENCIAS NATURALES,HOMBRE
DFG190001,FONDEQUIP,INVESTIGACION SOUTHTRAC DFG ALEMANIA,2019,MULTIDISCIPLINARIO,HOMBRE
